                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4728,                 2.1148,                 1.5476,                0.21054,                0.20455,                0.11517,                0.03678,                 2.5731,                 5.0086,                 2.2416,             0.00046943,             0.00046943,             0.00046943
                      2,                 1.6072,                 1.7858,                 1.6166,                 0.1314,                0.18987,                0.06761,                0.02179,                 2.7069,                 11.911,                 2.5648,             0.00093952,             0.00093952,             0.00093952
                      3,                 1.6249,                 1.7275,                 1.6225,                0.26023,                0.19554,                0.12612,                0.04083,                 2.6057,                 4.1587,                  2.221,              0.0014033,              0.0014033,              0.0014033
                      4,                 1.6434,                 1.7034,                  1.593,                0.23284,                0.22063,                0.13256,                0.04335,                 2.5027,                 8.7991,                 2.2236,              0.0014007,              0.0014007,              0.0014007
                      5,                 1.6233,                 1.6699,                 1.5862,                0.26463,                0.21351,                0.14841,                0.05069,                 2.5985,                 3.0646,                 2.1229,              0.0013913,              0.0013913,              0.0013913
                      6,                 1.5836,                 1.5761,                 1.5582,                0.31735,                0.32718,                0.19948,                0.06574,                 2.4303,                 2.9718,                 1.9836,              0.0013818,              0.0013818,              0.0013818
                      7,                 1.5031,                 1.5037,                 1.5149,                0.32759,                0.28683,                0.20332,                0.06579,                 2.5046,                 2.5499,                 2.0372,              0.0013724,              0.0013724,              0.0013724
                      8,                 1.5201,                 1.5331,                 1.5241,                0.30048,                0.27226,                0.18828,                0.06254,                 2.5043,                 2.6176,                 2.0228,               0.001363,               0.001363,               0.001363
                      9,                 1.4721,                  1.452,                 1.4996,                0.35543,                0.29731,                0.21825,                0.07114,                 2.6324,                 2.3916,                 2.1373,              0.0013535,              0.0013535,              0.0013535
                     10,                 1.4923,                 1.4208,                 1.5075,                 0.2969,                0.30291,                0.18784,                0.06052,                 2.5913,                 2.8215,                 2.0553,              0.0013441,              0.0013441,              0.0013441
                     11,                 1.4483,                 1.3823,                 1.4696,                 0.3312,                0.29851,                0.21141,                 0.0648,                 2.6118,                  2.535,                 2.0463,              0.0013347,              0.0013347,              0.0013347
                     12,                 1.4771,                 1.4056,                 1.4775,                0.36456,                0.30354,                0.24526,                0.09011,                 2.4085,                 2.5486,                 1.9416,              0.0013253,              0.0013253,              0.0013253
                     13,                 1.4324,                 1.3677,                 1.4618,                0.28582,                 0.2435,                0.16984,                0.05586,                 2.5554,                 2.7951,                 2.0396,              0.0013158,              0.0013158,              0.0013158
                     14,                 1.3803,                 1.2945,                 1.4251,                0.33372,                 0.2946,                0.20558,                0.06705,                 2.6441,                 2.3074,                 2.1334,              0.0013064,              0.0013064,              0.0013064
                     15,                 1.4243,                 1.3187,                 1.4404,                0.34178,                 0.2987,                0.22629,                0.07652,                 2.5056,                 2.3064,                 1.9898,               0.001297,               0.001297,               0.001297
                     16,                  1.418,                 1.2874,                  1.444,                0.35371,                0.28946,                0.21354,                0.06773,                  2.531,                 2.3975,                 2.0151,              0.0012875,              0.0012875,              0.0012875
                     17,                 1.3728,                 1.3029,                 1.4133,                0.34979,                0.31776,                0.23693,                0.07978,                 2.5475,                 2.2957,                  2.046,              0.0012781,              0.0012781,              0.0012781
                     18,                 1.3764,                 1.3009,                 1.4215,                0.27379,                0.27939,                0.17204,                0.05278,                 2.7572,                 2.8255,                 2.2205,              0.0012687,              0.0012687,              0.0012687
                     19,                  1.377,                  1.262,                 1.4195,                0.31148,                0.31896,                0.20931,                0.06676,                 2.6034,                 2.3344,                 2.0466,              0.0012592,              0.0012592,              0.0012592
                     20,                 1.3667,                 1.2366,                 1.4087,                0.31683,                0.29927,                0.20634,                 0.0675,                 2.5974,                 2.3322,                 2.0954,              0.0012498,              0.0012498,              0.0012498
                     21,                 1.3811,                 1.2222,                 1.4102,                0.37982,                0.32658,                0.25251,                0.08222,                 2.5702,                 2.2103,                 2.0204,              0.0012404,              0.0012404,              0.0012404
                     22,                 1.3431,                 1.2031,                  1.386,                0.28778,                0.27983,                0.18889,                0.06255,                 2.6773,                 2.3233,                 2.1049,              0.0012309,              0.0012309,              0.0012309
                     23,                 1.3241,                 1.1789,                 1.3873,                 0.3288,                0.30664,                0.22577,                0.07546,                 2.6471,                 2.3844,                 2.1263,              0.0012215,              0.0012215,              0.0012215
                     24,                 1.3606,                 1.2019,                  1.393,                0.36758,                0.28462,                0.22495,                  0.073,                 2.6475,                 2.2699,                 2.0711,              0.0012121,              0.0012121,              0.0012121
                     25,                 1.3161,                 1.1679,                 1.3689,                0.35839,                0.30264,                0.23282,                0.07799,                 2.5906,                 2.2152,                 2.0427,              0.0012026,              0.0012026,              0.0012026
                     26,                 1.2966,                 1.1681,                 1.3684,                0.34669,                0.28046,                 0.2185,                0.07047,                 2.6089,                 2.3281,                 2.0807,              0.0011932,              0.0011932,              0.0011932
                     27,                 1.3235,                   1.16,                 1.3797,                0.31698,                0.31862,                 0.2128,                0.06743,                 2.6658,                 2.5072,                 2.0891,              0.0011838,              0.0011838,              0.0011838
                     28,                 1.2998,                 1.1206,                   1.35,                0.31651,                0.32991,                0.22704,                0.07665,                 2.6253,                  2.324,                 2.0557,              0.0011744,              0.0011744,              0.0011744
                     29,                 1.2848,                 1.1031,                 1.3536,                0.42144,                0.32157,                0.26034,                 0.0871,                 2.5556,                 2.1334,                 2.0231,              0.0011649,              0.0011649,              0.0011649
                     30,                 1.2969,                 1.0865,                 1.3584,                0.34733,                0.27539,                0.20003,                0.06333,                 2.7007,                 2.3075,                 2.1476,              0.0011555,              0.0011555,              0.0011555
                     31,                 1.2807,                 1.0607,                 1.3524,                0.37476,                 0.2944,                0.24315,                0.07697,                 2.6817,                 2.1718,                 2.1196,              0.0011461,              0.0011461,              0.0011461
                     32,                 1.2617,                 1.0719,                  1.334,                0.36345,                0.31191,                0.22822,                0.07186,                 2.6243,                 2.2112,                 2.1004,              0.0011366,              0.0011366,              0.0011366
                     33,                 1.2608,                 1.0676,                 1.3447,                0.29477,                0.25773,                0.17589,                0.05308,                 2.8636,                 2.5162,                 2.3044,              0.0011272,              0.0011272,              0.0011272
                     34,                 1.2541,                 1.0547,                 1.3302,                0.43601,                0.33357,                0.28105,                0.09399,                 2.5437,                 2.1633,                 2.0177,              0.0011178,              0.0011178,              0.0011178
                     35,                 1.2457,                 1.0411,                 1.3373,                0.39402,                 0.3024,                0.23041,                0.07739,                 2.6462,                  2.197,                 2.0617,              0.0011083,              0.0011083,              0.0011083
                     36,                 1.2431,                 1.0478,                  1.314,                0.32821,                0.30436,                0.20547,                0.06375,                 2.7682,                 2.3947,                 2.2425,              0.0010989,              0.0010989,              0.0010989
                     37,                 1.2576,                 1.0349,                  1.339,                0.28434,                0.24926,                0.16143,                0.04968,                 2.8371,                 2.4754,                 2.2488,              0.0010895,              0.0010895,              0.0010895
